chunk_id,document,page_number,text,processed_text
ug_p8_10,ug,8,Undergraduate Student Handbook,undergraduate student handbook
ug_p9_11,ug,9,Main Office NUST NUST UAN +92-51-111-11- NUST (6878) Fax No +92-51-8317363 Email Info@nust.edu.pk Website www.nust.edu.pk Registrar Directorate Registrar +92-51-90851041 Email registrar@nust.edu.pk Deputy Director (UG) +92-51-90851053-90851049 Deputy Controller (MS) +92-51-90851045 Assistant Director (UG) +92-51-90851051 Assistant Director (MS) +92-51-90851043 Examination Directorate Controller of Examinations +92-51-90851061 Email consultant.regdte@nust.edu.pk Deputy Controller (Examinations) +92-51-90851055 Assistant Controller (Examinations - UG) +92-51-90851056-8 Assistant Controller (Examinations - PG) +92-51-90851057 Academics Directorate Director Academics & Dean ASR +92-51-90851071 Email dacad@nust.edu.pk Deputy Director Programmes +92-51-90851073 Senior Assistant Director Policies +92-51-90851077 Directorate of Advanced Studies & Research Director Academics & Dean ASR +92-51-90851071 Email dacad@nust.edu.pk Deputy Director DASR +92-51-90851074 Assistant Director (Admissions & Academic Affairs DASR) +92-51-90851075 Assistant Director Monitoring & Evaluation DASR +92-51-90851090 Finance Directorate Director Finance +92-51-90851301 E-mail dirfin@nust.edu.pk Manager Finance (Fee) +92-51-90851313 NUST Undergraduate Student Handbook 5,main office nust nust uan nust fax email infonustedupk website wwwnustedupk registrar directorate registrar email registrarnustedupk deputy director ug deputy controller m assistant director ug assistant director m examination directorate controller examination email consultantregdtenustedupk deputy controller examination assistant controller examination ug assistant controller examination pg academic directorate director academic dean asr email dacadnustedupk deputy director programme senior assistant director policy directorate advanced study research director academic dean asr email dacadnustedupk deputy director dasr assistant director admission academic affair dasr assistant director monitoring evaluation dasr finance directorate director finance email dirfinnustedupk manager finance fee nust undergraduate student handbook
ug_p10_12,ug,10,"Administration Directorate Director Administration +92-51-90851541 E-mail dadm@nust.edu.pk Deputy Director Adm & Coord +92-51-90851503 Chief Security Officer +92-51-90851525 Deputy Director Transport +92-51-90851511 Field Administration Directorate Director Field Administration +92-51-90851501 E-mail dir.fieldadmin@nust.edu.pk Deputy Director Hostels +92-51-90851508 Chief Security Officer +92-51-90851525 NUST International Office (NIO) Deputy Director NIO +92-51-90851445 International Student and Staff Support amic.qa@nust.edu.pk International Partnerships ic@nust.edu.pk Constituent Institutions Military College of Engineering (MCE), Risalpur Dean +92-923-631315 SO NUST Affairs +92-923-631667 E-mail mce@nust.edu.pk Military College of Signals (MCS), Rawalpindi Dean +92-51-5564048 SO NUST Affairs +92-51-9272097 E-mail mcs@nust.edu.pk College of Electrical & Mechanical Engineering (C of E&ME), Rawalpindi Dean +92-51-54444050 SO NUST Affairs +92-51-54444010 E-mail ceme@nust.edu.pk Pakistan Navy Engineering College (PNEC), Karachi Dean +92-21-48503001 SO NUST Affairs +92-21-48503043 Email pnec@nust.deu.pk College of Aeronautical Engineering (CAE), Risalpur 6 NUST Undergraduate Student Handbook",administration directorate director administration email dadmnustedupk deputy director adm coord chief security officer deputy director transport field administration directorate director field administration email dirfieldadminnustedupk deputy director hostel chief security officer nust international office nio deputy director nio international student staff support amicqanustedupk international partnership icnustedupk constituent institution military college engineering mce risalpur dean nust affair email mcenustedupk military college signal mc rawalpindi dean nust affair email mcsnustedupk college electrical mechanical engineering c eme rawalpindi dean nust affair email cemenustedupk pakistan navy engineering college pnec karachi dean nust affair email pnecnustdeupk college aeronautical engineering cae risalpur nust undergraduate student handbook
ug_p11_13,ug,11,"Dean +92-923-631499 SO NUST Affairs +92-923-631498 E-mail cae@nust.edu.pk School of Civil & Environmental Engineering (SCEE), Islamabad Principal / Dean +92-51-90854001 E-mail scee@nust.edu.pk - NUST Institute of Civil Engineering (NICE) Associate Dean +92-51-90854501 Email nice@nust.edu.pk - Institute of Environmental Sciences & Engineering (IESE) Associate Dean +92-51-90854201 E-mail iese@nust.edu.pk - Institute of Geographical Information Systems (IGIS) Associate Dean +92-51-90854401 E-mail igis@nust.edu.pk School of Electrical Engineering & Computer Science (SEECS), Islamabad Principal / Dean +92-51-90852001 E-mail seecs@nust.edu.pk School of Chemical & Materials Engineering (SCME), Islamabad Principal / Dean +92-51-90855001 E-mail scme@nust.edu.pk School of Mechanical & Manufacturing Engineering (SMME), Islamabad Principal +92-51-90856001 E-mail smme@nust.edu.pk Atta-Ur-Rahman School of Applied Biosciences (ASAB), Islamabad Principal / Dean +92-51-90856101 E-mail asab@nust.edu.pk NUST Business School (NBS), Islamabad Principal / Dean +92-51-90853001 E-mail nbs@nust.edu.pk School of Social Sciences & Humanities (S3H), Islamabad Principal / Dean +92-51-90853501 E-mail s3h@nust.edu.pk NUST Undergraduate Student Handbook 7",dean nust affair email caenustedupk school civil environmental engineering scee islamabad principal dean email sceenustedupk nust institute civil engineering nice associate dean email nicenustedupk institute environmental science engineering iese associate dean email iesenustedupk institute geographical information system igis associate dean email igisnustedupk school electrical engineering computer science seecs islamabad principal dean email seecsnustedupk school chemical material engineering scme islamabad principal dean email scmenustedupk school mechanical manufacturing engineering smme islamabad principal email smmenustedupk attaurrahman school applied bioscience asab islamabad principal dean email asabnustedupk nust business school nb islamabad principal dean email nbsnustedupk school social science humanity islamabad principal dean email nust undergraduate student handbook
ug_p12_14,ug,12,"School of Natural Sciences (SNS), Islamabad Principal / Dean +92-51-90855551 E-mail sns@nust.edu.pk School of Art, Design & Architecture (SADA), Islamabad Principal +92-51-90855401 E-mail sada@nust.edu.pk NUST Institute of Peace & Conflict Studies (NIPCONS), Rawalpindi Principal +92-51-90856701 E-mail nipcons@nust.edu.pk US Pak Centre for Advanced Studies in Energy (USPCAS-E), Islamabad Principal / Dean +92-51-90855101 E-mail ces@nust.edu.pk NUST Balochistan Campus (NBC), Quetta Campus Director / Dean +92 -51-90856900 Deputy Director Adm & Coord (NBC) +92 -51-90856904 E-mail nbc@nust.edu.pk National Institute of Transportation (NIT), Risalpur Principal +92-923-568590 SO NUST Affairs +92- 923-631688 E-mail: nit@nust.edu.pk School of Inter-Disciplinary Engineering and Sciences (SINES), Islamabad Principal / Dean +92-51-90855701 E-mail principal@sines.nust.edu.pk NUST School of Health Sciences (NSHS), Islamabad Principal +92-51-90852601 E-mail principal@nshs.nust.edu.pk 8 NUST Undergraduate Student Handbook",school natural science sn islamabad principal dean email snsnustedupk school art design architecture sada islamabad principal email sadanustedupk nust institute peace conflict study nipcons rawalpindi principal email nipconsnustedupk u pak centre advanced study energy uspcase islamabad principal dean email cesnustedupk nust balochistan campus nbc quetta campus director dean deputy director adm coord nbc email nbcnustedupk national institute transportation nit risalpur principal nust affair email nitnustedupk school interdisciplinary engineering science sine islamabad principal dean email principalsinesnustedupk nust school health science nshs islamabad principal email principalnshsnustedupk nust undergraduate student handbook
ug_p13_15,ug,13,"9. Mailing Address & Social Media Accounts: Mailing Address: National University of Sciences and Technology (NUST) H-12, Islamabad, Pakistan Web Address: http://www.nust.edu.pk Social Media Accounts https://www.facebook.com/nustofficial https://twitter.com/DefiningFutures http://www.linkedin.com/company/551751/ www.youtube.com/NUSTOfficial https://www.instagram.com/nustgram/?hl=en NUST Undergraduate Student Handbook 9",mailing address social medium account mailing address national university science technology nust islamabad pakistan web address httpwwwnustedupk social medium account httpswwwfacebookcomnustofficial httpstwittercomdefiningfutures wwwyoutubecomnustofficial httpswwwinstagramcomnustgramhlen nust undergraduate student handbook
ug_p14_16,ug,14,"Chapter 2: Scheme of Studies, Examinations, and Academic Standards for the Award of Degrees 1. Credit Hours. The minimum number of credit hours, as approved by NUST Academic Council for each programme, and duration for completing the Bachelors’ Programmes are given below: Ser Programme Title CHs a. Bachelor of Electrical Engineering 131-135 b. Bachelor of Mechanical Engineering 137 c. Bachelor of Computer Engineering 136 d. Bachelor of Mechatronics Engineering 139 e. Bachelor of Software Engineering 134+X f. Bachelor of Avionics Engineering 135 g. Bachelor of Aerospace Engineering 136 h. Bachelor of Science in Maritime Sciences 130 i. Bachelor of Civil Engineering 136 j. Bachelor of Environmental Engineering 132 k. Bachelor of Geoinformatics Engineering 132 l. Bachelor of Science in Computer Science 133 m. Bachelor of Chemical Engineering 139 n. Bachelor of Metallurgy & Materials Engineering 139 o. Bachelor of Science in Mathematics 135 p. Bachelor of Science in Physics 134 q. Bachelor of Science in Chemistry 131 r. Bachelor of Business Administration 136 s. Bachelor of Science in Accounting & Finance 138 t. Bachelor of Science in Mass Communication 132 u. Bachelor of Public Administration 135 v. Bachelor of Science in Economics 135 w. Bachelor of Science in Psychology 129",chapter scheme study examination academic standard award degree credit hour minimum number credit hour approved nust academic council programme duration completing bachelor programme given ser programme title chs bachelor electrical engineering b bachelor mechanical engineering c bachelor computer engineering bachelor mechatronics engineering e bachelor software engineering f bachelor avionics engineering g bachelor aerospace engineering h bachelor science maritime science bachelor civil engineering j bachelor environmental engineering k bachelor geoinformatics engineering l bachelor science computer science bachelor chemical engineering n bachelor metallurgy material engineering bachelor science mathematics p bachelor science physic q bachelor science chemistry r bachelor business administration bachelor science accounting finance bachelor science mass communication u bachelor public administration v bachelor science economics w bachelor science psychology
ug_p14_17,ug,14,x. Bachelor of Science in Biotechnology 133 y. Bachelor of Military Arts and Science 132 z. Bachelor of Architecture 182 aa. Bachelor of Industrial Design 140 bb. Bachelor of Engineering in Naval Architecture 136 cc. Bachelor of Laws 171 dd. Bachelor of Engineering in Information Security 132+X ee. Bachelor of Tourism and Hospitality Management 135 ff. Bachelor of Science in Food Science and Technology 142 gg. Bachelor of Science in Bioinformatics 130 hh. Bachelor of Science in Data Science 133 ii. Bachelor of Science in Agriculture 137 jj. Bachelor of Science in Environmental Science 134 10 NUST Undergraduate Student Handbook,x bachelor science biotechnology bachelor military art science z bachelor architecture aa bachelor industrial design bb bachelor engineering naval architecture cc bachelor law dd bachelor engineering information security ee bachelor tourism hospitality management ff bachelor science food science technology gg bachelor science bioinformatics hh bachelor science data science ii bachelor science agriculture jj bachelor science environmental science nust undergraduate student handbook
ug_p15_18,ug,15,"Ser Programme Title CHs kk. Bachelor of Science in Artificial Intelligence 133 ll. Bachelor of Medicine, Bachelor of Surgery, MBBS Annual System mm. Bachelor of Science in Human Nutrition and Dietetics 136 2. Duration. The minimum and maximum duration of all above-mentioned programmes except Bachelor of Architecture is 4 and 7 years respectively. However, Bachelor of Laws and Architecture’s minimum and maximum duration is 5 and 8 years respectively. 3. Internship. Internship (Voluntary / Mandatory) with reputed public/private sector organizations has been introduced in the undergraduate degree programmes. Voluntary internship for the duration of 4-8 weeks may be undertaken by 1st / 2nd year students in NGOs, Trusts and Public Sector organizations in Summer Semester. However, Mandatory internship (graded course of 3 credit hours) for minimum duration of 6 weeks must be performed by 2nd / 3rd / 4th year undergraduate students once during the degree programme. Mandatory internship will be conducted in the industry / public or private sector organization relevant to the individual’s degree programme. Mandatory internship will be reflected on the transcript as Qualified / Not Qualified being the essential component for the award of degree. 4. Community Service Course. Each student is required to undergo a",ser programme title chs kk bachelor science artificial intelligence bachelor medicine bachelor surgery mbbs annual system mm bachelor science human nutrition dietetics duration minimum maximum duration abovementioned programme except bachelor architecture year respectively however bachelor law architecture minimum maximum duration year respectively internship internship voluntary mandatory reputed publicprivate sector organization introduced undergraduate degree programme voluntary internship duration week may undertaken year student ngo trust public sector organization summer semester however mandatory internship graded course credit hour minimum duration week must performed year undergraduate student degree programme mandatory internship conducted industry public private sector organization relevant individual degree programme mandatory internship reflected transcript qualified qualified essential component award degree community service course student required undergo
ug_p15_19,ug,15,"2-Credit Hour (CHs) Community Service course as part of the standard curriculum. The students who do not complete the course are usually at a disadvantage during job placements and practical life. 5. Examinations & Other Semester Requirements. The following may be scheduled during a semester of studies for grading: a. Minor Test (Quiz). Several unannounced/announced quiz tests are conducted frequently in each course at irregular intervals, (normally 2-3 per credit hour) throughout the semester. b. Major Tests (1) Mid Semester Examination/One Hour Test (OHT). Mid Semester Exam is a 2–3 hour test conducted at mid-semester or a number of OHTs (one-hour duration), conducted (normally one per credit hour) in each course at regular intervals with due notice of at least two days. (2) End Semester Examination (ESE). The last comprehensive examination of approximately three hours duration is given in each course on its completion. c. Class Assignment. A task, relevant to a course of study, is assigned by concerned faculty to substantiate the course contents. The assignment may or may not be graded. d. Practical/Lab Test. These tests include all such examinations/evaluations to ascertain the level of competency of the practical application of knowledge acquired. e. Project. Project is a",hour chs community service course part standard curriculum student complete course usually disadvantage job placement practical life examination semester requirement following may scheduled semester study grading minor test quiz several unannouncedannounced quiz test conducted frequently course irregular interval normally per credit hour throughout semester b major test mid semester examinationone hour test oht mid semester exam hour test conducted midsemester number ohts onehour duration conducted normally one per credit hour course regular interval due notice least two day end semester examination ese last comprehensive examination approximately three hour duration given course completion c class assignment task relevant course study assigned concerned faculty substantiate course content assignment may may graded practicallab test test include examinationsevaluations ascertain level competency practical application knowledge acquired e project project
ug_p15_20,ug,15,research work aimed at testing the ability of a student to translate the theoretical knowledge acquired during a course of study into practical use. Projects are usually assigned as part of coursework to NUST Undergraduate Student Handbook 11,research work aimed testing ability student translate theoretical knowledge acquired course study practical use project usually assigned part coursework nust undergraduate student handbook
ug_p16_21,ug,16,"individuals or groups of students and each student is required to present the project work. f. Attendance. 75% attendance is a must for a student to be allowed to appear in the End Semester Examination of a subject. Students shall be awarded XF grade if their respective attendance falls below 75%. No deviation from this rule is allowed under any circumstances. g. Students are required to make oral presentations during the semesters as part of courses specially configured to develop their soft skills. 6. All End Semester Examinations are managed by the constituent institutions on dates and according to the schedule prepared by them. 7. Question Paper. All question papers are set by respective faculty and duly scrutinized, approved, and conducted in accordance with the University policy. As per the spirit of the semester system, there shall be no choice in attempting the questions. It shall also be ensured that the Question Papers are balanced with respect to the examination policy and have been prepared to cover the essentials of the whole syllabus completed by the faculty. 8. Use of Reference Material during Test/Examination. Before the quiz, OHT, and mid/end-semester examinations, the concerned faculty/invigilator may announce such books, notes, or",individual group student student required present project work f attendance attendance must student allowed appear end semester examination subject student shall awarded xf grade respective attendance fall deviation rule allowed circumstance g student required make oral presentation semester part course specially configured develop soft skill end semester examination managed constituent institution date according schedule prepared question paper question paper set respective faculty duly scrutinized approved conducted accordance university policy per spirit semester system shall choice attempting question shall also ensured question paper balanced respect examination policy prepared cover essential whole syllabus completed faculty use reference material testexamination quiz oht midendsemester examination concerned facultyinvigilator may announce book note
