query,method,avg_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms
What are the examination rules?,hybrid,4.241228103637695,0.10366191966332125,4.113912582397461,4.367828369140625
Can a student transfer to another department?,tfidf,0.8765856424967448,0.04583855109666715,0.8299350738525391,0.9388923645019531
Can a student transfer to another department?,minhash,0.7739067077636719,0.04235135462690581,0.7188320159912109,0.8218288421630859
Can a student transfer to another department?,simhash,3.0771891276041665,0.1393409685818185,2.8967857360839844,3.236055374145508
Can a student transfer to another department?,hybrid,4.288117090861003,0.03935295078281566,4.233121871948242,4.323005676269531
What is the grading system?,tfidf,0.8038679758707682,0.014993645509317163,0.7827281951904297,0.8158683776855469
What is the grading system?,minhash,0.6105899810791016,0.02867439809333931,0.5800724029541016,0.6489753723144531
What is the grading system?,simhash,2.894878387451172,0.1404821669131299,2.7208328247070312,3.064870834350586
What is the grading system?,hybrid,4.354238510131836,0.11613228429049298,4.215717315673828,4.499912261962891
What are the thesis requirements?,tfidf,0.861962636311849,0.016315373565742676,0.843048095703125,0.8828639984130859
What are the thesis requirements?,minhash,1.2094179789225261,0.15257178824285708,1.0831356048583984,1.4240741729736328
What are the thesis requirements?,simhash,2.9473304748535156,0.0946887023489488,2.8209686279296875,3.0488967895507812
What are the thesis requirements?,hybrid,4.6304066975911455,0.0522335634888081,4.557132720947266,4.675149917602539
What is the semester registration process?,tfidf,0.8019606272379557,0.014761856393103883,0.7822513580322266,0.8177757263183594
What is the semester registration process?,minhash,0.7687409718831381,0.03124547011966613,0.7302761077880859,0.8068084716796875
What is the semester registration process?,simhash,3.083467483520508,0.2325737087054159,2.790212631225586,3.359079360961914
What is the semester registration process?,hybrid,4.460652669270833,0.10815996353313002,4.312992095947266,4.569053649902344
What are the rules for dropping a course?,tfidf,0.8313655853271484,0.01926426053436593,0.804901123046875,0.8502006530761719
What are the rules for dropping a course?,minhash,0.6744066874186198,0.07971749799657382,0.6051063537597656,0.7860660552978516
What are the rules for dropping a course?,simhash,2.942641576131185,0.08227095537355553,2.8679370880126953,3.057241439819336
What are the rules for dropping a course?,hybrid,4.018386205037435,0.05874404569037437,3.9610862731933594,4.099130630493164
What is the scholarship policy?,tfidf,0.7948080698649088,0.010527079511282305,0.7801055908203125,0.8041858673095703
What is the scholarship policy?,minhash,1.1634031931559246,0.05038153091839686,1.0960102081298828,1.2171268463134766
What is the scholarship policy?,simhash,2.852757771809896,0.16073990505148977,2.722024917602539,3.0791759490966797
What is the scholarship policy?,hybrid,4.935741424560547,0.30116730658870894,4.572868347167969,5.310297012329102
